Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRA05.HFMVTBBXX.s_1.r_1_screen	17924	17.93	95223	95.24	32685	32.69	4	0.0	67	0.07	0	0.0
SLX-11165.ORDRA05.HFMVTBBXX.s_2.r_1_screen	18142	17.88	96838	95.4	33017	32.53	1	0.0	63	0.06	0	0.0
SLX-11165.ORDRA05.HFN3MBBXX.s_5.r_1_screen	18176	18.13	95537	95.29	32773	32.69	4	0.0	82	0.08	0	0.0
SLX-11165.ORDRA05.HFN3MBBXX.s_6.r_1_screen	17613	17.6	95471	95.32	32069	32.02	2	0.0	67	0.07	0	0.0
SLX-11165.ORDRA05.HFN3MBBXX.s_7.r_1_screen	17644	17.62	95654	95.54	32521	32.49	5	0.0	90	0.09	0	0.0
SLX-11165.ORDRA06.HFMVTBBXX.s_1.r_1_screen	44698	44.07	93246	91.93	57692	56.89	2	0.0	74	0.07	0	0.0
SLX-11165.ORDRA06.HFMVTBBXX.s_2.r_1_screen	43224	43.81	91011	92.24	56012	56.77	3	0.0	50	0.05	0	0.0
SLX-11165.ORDRA06.HFN3MBBXX.s_5.r_1_screen	43947	43.31	93764	92.41	56934	56.11	4	0.0	78	0.08	0	0.0
SLX-11165.ORDRA06.HFN3MBBXX.s_6.r_1_screen	42901	42.89	92234	92.2	55754	55.72	1	0.0	48	0.05	0	0.0
SLX-11165.ORDRA06.HFN3MBBXX.s_7.r_1_screen	43989	43.44	93740	92.59	57055	56.35	2	0.0	68	0.07	0	0.0
SLX-11165.ORDRA07.HFMVTBBXX.s_1.r_1_screen	29849	30.07	93479	94.17	44537	44.86	3	0.0	45	0.05	0	0.0
SLX-11165.ORDRA07.HFMVTBBXX.s_2.r_1_screen	29472	29.82	93180	94.32	44096	44.63	10	0.01	40	0.04	0	0.0
SLX-11165.ORDRA07.HFN3MBBXX.s_5.r_1_screen	29812	29.56	95133	94.33	45051	44.66	1	0.0	58	0.06	0	0.0
SLX-11165.ORDRA07.HFN3MBBXX.s_6.r_1_screen	29182	29.3	93763	94.17	44161	44.35	3	0.0	34	0.03	0	0.0
SLX-11165.ORDRA07.HFN3MBBXX.s_7.r_1_screen	29600	29.35	95337	94.54	44967	44.59	7	0.01	64	0.06	0	0.0
SLX-11165.ORDRA10.HFMVTBBXX.s_1.r_1_screen	19918	20.16	94973	96.12	34317	34.73	4	0.0	49	0.05	0	0.0
SLX-11165.ORDRA10.HFMVTBBXX.s_2.r_1_screen	20153	20.09	96519	96.21	34744	34.63	6	0.0	65	0.06	0	0.0
SLX-11165.ORDRA10.HFN3MBBXX.s_5.r_1_screen	20050	20.0	96262	96.09	34645	34.58	4	0.0	91	0.09	0	0.0
SLX-11165.ORDRA10.HFN3MBBXX.s_6.r_1_screen	19775	19.6	96922	96.09	34387	34.09	2	0.0	55	0.05	0	0.0
