Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.HFMVTBBXX.s_1.r_1.lostreads	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	20211576.0	warn	pass	fail	36.0	41.1010899111	SLX-11165.HFMVTBBXX.s_1.r_1.lostreads.fq.gz	fail	pass
SLX-11165.HFMVTBBXX.s_1.r_1.lostreads_trimmed	pass	0.0	fail	48.6509228969	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	20179665.0	warn	fail	fail	36.0	39.4303967078	SLX-11165.HFMVTBBXX.s_1.r_1.lostreads_trimmed.fq.gz	warn	pass
SLX-11165.HFMVTBBXX.s_2.r_1.lostreads	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	19296711.0	pass	pass	fail	35.0	39.7118423743	SLX-11165.HFMVTBBXX.s_2.r_1.lostreads.fq.gz	pass	pass
SLX-11165.HFMVTBBXX.s_2.r_1.lostreads_trimmed	pass	0.0	fail	48.6980558939	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	19266387.0	pass	fail	fail	35.0	38.2100471095	SLX-11165.HFMVTBBXX.s_2.r_1.lostreads_trimmed.fq.gz	pass	pass
SLX-11165.HFN3MBBXX.s_5.r_1.lostreads	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	20441484.0	warn	pass	fail	37.0	39.5395344931	SLX-11165.HFN3MBBXX.s_5.r_1.lostreads.fq.gz	warn	pass
SLX-11165.HFN3MBBXX.s_5.r_1.lostreads_trimmed	pass	0.0	fail	48.7329214524	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	20413021.0	warn	fail	fail	38.0	38.1605429619	SLX-11165.HFN3MBBXX.s_5.r_1.lostreads_trimmed.fq.gz	warn	pass
SLX-11165.HFN3MBBXX.s_6.r_1.lostreads	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	21353920.0	warn	pass	fail	37.0	40.7847041248	SLX-11165.HFN3MBBXX.s_6.r_1.lostreads.fq.gz	fail	pass
SLX-11165.HFN3MBBXX.s_6.r_1.lostreads_trimmed	pass	0.0	fail	48.7365611892	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	21325343.0	warn	fail	fail	38.0	39.2218158972	SLX-11165.HFN3MBBXX.s_6.r_1.lostreads_trimmed.fq.gz	fail	pass
SLX-11165.HFN3MBBXX.s_7.r_1.lostreads	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	fail	19758003.0	warn	pass	fail	36.0	39.5846542633	SLX-11165.HFN3MBBXX.s_7.r_1.lostreads.fq.gz	pass	pass
SLX-11165.HFN3MBBXX.s_7.r_1.lostreads_trimmed	pass	0.0	fail	48.6556869389	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	fail	19729208.0	warn	fail	fail	36.0	38.0260101839	SLX-11165.HFN3MBBXX.s_7.r_1.lostreads_trimmed.fq.gz	pass	pass
