Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-11165.ORDRA05.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	83.61	66685.0	454.0	1.32	1.46	2.43	48.71	0.0	0.34	49.0	50.0	0.0	65255.0	2423603.0	22300.0	0	0.0	2898591.0	47577	0.01	1.64	11.54	334617.0	926.0	70494	0.77
SLX-11165.ORDRA05.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	83.74	67749.0	461.0	1.32	1.51	2.38	48.73	0.0	0.33	49.0	46.0	0.0	66339.0	2464488.0	22387.0	0	0.0	2942994.0	47785	0.01	1.62	11.49	338131.0	903.0	70203	0.76
SLX-11165.ORDRA05.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	83.75	73548.0	514.0	1.32	1.48	2.37	48.72	0.0	0.34	49.0	42.0	0.0	71983.0	2686057.0	24449.0	0	0.0	3207176.0	54520	0.01	1.7	11.42	366143.0	1009.0	76007	0.76
SLX-11165.ORDRA05.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	83.86	75837.0	504.0	1.32	1.46	2.34	48.73	0.0	0.34	49.0	41.0	0.0	74218.0	2771047.0	25056.0	0	0.0	3304371.0	55162	0.01	1.67	11.37	375812.0	1074.0	77294	0.76
SLX-11165.ORDRA05.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	83.84	73819.0	481.0	1.33	1.47	2.36	48.72	0.0	0.32	49.0	64.0	0.0	72273.0	2685743.0	24336.0	0	0.0	3203428.0	53740	0.01	1.68	11.37	364116.0	1001.0	75493	0.76
SLX-11165.ORDRA06.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	72.71	36876.0	307.0	1.31	2.03	3.75	48.57	0.01	0.61	49.0	37.0	0.0	36003.0	1621892.0	17495.0	0	0.0	2230587.0	19842	0.01	0.89	21.87	487752.0	529.0	83606	0.78
SLX-11165.ORDRA06.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	72.85	37282.0	307.0	1.31	2.13	3.75	48.58	0.01	0.6	49.0	50.0	0.0	36421.0	1652596.0	17301.0	0	0.0	2268514.0	19032	0.01	0.84	21.8	494621.0	504.0	84964	0.76
SLX-11165.ORDRA06.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	73.17	40159.0	333.0	1.32	2.11	3.66	48.59	0.01	0.59	49.0	44.0	0.0	39212.0	1781302.0	18338.0	0	0.0	2434364.0	22422	0.01	0.92	21.49	523102.0	570.0	89200	0.75
SLX-11165.ORDRA06.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	73.27	41599.0	335.0	1.31	2.05	3.62	48.6	0.01	0.59	49.0	62.0	0.0	40616.0	1831983.0	18714.0	0	0.0	2500319.0	22048	0.01	0.88	21.47	536874.0	586.0	90700	0.75
SLX-11165.ORDRA06.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	73.12	40376.0	322.0	1.31	2.14	3.64	48.59	0.01	0.58	49.0	38.0	0.0	39454.0	1776144.0	18458.0	0	0.0	2428964.0	22610	0.01	0.93	21.54	523256.0	562.0	88496	0.76
