Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1	689971700	3704704	284243	13799434	1.49813753231	679634975
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1	393111350	2361152	176019	7862227	2.01030166135	385208626
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1	1145615200	6227551	450901	22912304	1.13811644608	1132576765
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1	1366093600	7562005	519201	27321872	1.85850091092	1340704738
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1	1133746600	6525251	452237	22674932	1.49368483222	1116811999
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1	1647395450	9223139	715935	32947909	0.966580428518	1631472048
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1	1011366450	5788902	373773	20227329	1.64760923204	994703083
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1	946856100	5657080	443691	18937122	1.57569001245	931936583
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1	813818450	4483121	321139	16276369	1.22278721993	803867182
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1	892822750	5242827	298668	17856455	1.98932363675	875061616
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1	1077003550	5849049	534184	21540071	1.14790178732	1064640607
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1	703139300	3898027	268033	14062786	1.60454834483	691857090
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1	956088600	6025327	334635	19121772	2.78640839353	929448067
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1	1161742700	5878626	548279	23234854	1.00634727466	1150051534
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1	1056897950	5876640	453394	21137959	1.01567052902	1046163349
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1	20569850	126006	15866	411397	2.66750608293	20021148
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1	1312717300	6960066	586672	26254346	0.999005421807	1299603183
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1	993463250	5527146	397036	19869265	0.996783122073	983560576
SLX-16086.H23LKBBXY.s_3.r_1.lostreads	1829011250	10055829	3891533	36580225	1.36384710592	1804066333
