Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Sheep counts	Sheep percentage	FruitFly counts	FruitFly percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	No hits counts	No hits percentage
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_screen	22830	22.84	99996	58261	58.26	14720	14.72	979	0.98	172	0.17	0	0.0	5	0.01	30468	30.47
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_screen	12777	12.84	99522	42536	42.73	9291	9.34	1728	1.73	1155	1.16	0	0.0	0	0.0	53443	53.7
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_screen	22220	22.21	100054	65103	65.07	12498	12.49	858	0.85	14	0.01	0	0.0	0	0.0	23982	23.97
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_screen	29712	29.69	100081	58261	58.21	19259	19.24	1353	1.35	22	0.02	0	0.0	0	0.0	29944	29.92
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_screen	23727	23.75	99890	66817	66.89	15714	15.73	960	0.96	87	0.09	0	0.0	142	0.14	23554	23.58
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_screen	17046	17.02	100146	72477	72.37	9216	9.21	1218	1.22	29	0.03	1	0.0	0	0.0	19568	19.54
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_screen	25661	25.63	100136	59949	59.86	16551	16.53	1200	1.19	35	0.03	0	0.0	0	0.0	29239	29.2
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_screen	21310	21.27	100197	69436	69.3	14049	14.03	1283	1.28	92	0.09	0	0.0	94	0.09	22814	22.77
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_screen	25593	25.63	99856	66302	66.41	15053	15.08	1122	1.13	9	0.01	0	0.0	1	0.0	22687	22.72
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_screen	28998	29.07	99757	59094	59.24	19707	19.76	1338	1.34	146	0.15	0	0.0	0	0.0	28660	28.73
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_screen	19811	19.77	100187	64879	64.75	10608	10.59	834	0.83	84	0.08	0	0.0	0	0.0	24575	24.53
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_screen	27498	27.57	99737	63838	64.01	16293	16.34	1344	1.35	7	0.01	0	0.0	21	0.02	23827	23.89
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_screen	33382	33.34	100114	61258	61.18	22974	22.94	1916	1.91	36	0.04	2	0.0	1	0.0	26350	26.32
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_screen	24799	24.77	100151	57347	57.25	12465	12.45	786	0.79	46	0.04	0	0.0	0	0.0	28893	28.85
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_screen	19767	19.74	100180	69748	69.63	11261	11.24	1133	1.13	78	0.08	0	0.0	4	0.0	21268	21.23
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_screen	37546	36.5	102850	72793	70.77	26935	26.19	4200	4.08	85	0.08	4	0.0	0	0.0	22184	21.57
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_screen	22094	22.13	99827	65246	65.35	12888	12.9	884	0.88	43	0.04	0	0.0	11	0.01	24537	24.58
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_screen	20692	20.72	99846	69955	70.06	12417	12.43	1112	1.11	58	0.06	2	0.0	1	0.0	21287	21.32
