Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	251156	0	32.4862481892	0	0	0	0	4355596	6429037	0	2371718	0	13407507
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	100370	0	17.184933371	0	0	0	0	887785	2438575	0	1739336	0	5166066
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	349451	0	31.7363377156	0	0	0	0	7817216	12194484	0	4270601	0	24631752
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	631375	0	19.7393937579	0	0	0	0	6058349	18539850	0	5462093	0	30691667
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	520725	0	34.7764091915	0	0	0	0	8481391	11264955	0	4121275	0	24388346
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	389374	0	30.5149488211	0	0	0	0	10454062	13682396	0	9732990	0	34258822
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	432687	0	26.4071944376	0	0	0	0	5665287	11271826	0	4083774	0	21453574
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	352078	0	31.5178421881	0	0	0	0	6467546	9597392	0	4103253	0	20520269
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	313396	0	29.2291739161	0	0	0	0	5327159	9541274	0	3043657	0	18225486
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	428270	0	22.9423481247	0	0	0	0	4394819	10430236	0	3902600	0	19155925
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	293589	0	38.619738826	0	0	0	0	8116098	8750249	0	3855478	0	21015414
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	274822	0	29.2664846358	0	0	0	0	4599418	8601278	0	2240131	0	15715649
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	661328	0	21.6815948004	0	0	0	0	4777204	12687485	0	3907436	0	22033453
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	315054	0	28.4922506396	0	0	0	0	6579514	12169843	0	4027882	0	23092293
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	289378	0	32.3896378785	0	0	0	0	7353093	10253855	0	4805666	0	22701992
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	20242	0	22.0104904965	0	0	0	0	117076	311324	0	83268	0	531910
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	443927	0	32.6406451369	0	0	0	0	9323955	14420519	0	4377073	0	28565474
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	316430	0	31.6442476773	0	0	0	0	7065252	10919084	0	4026363	0	22327129
