Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-avg_sequence_length	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_gc	STAR_mqc-generalstats-uniquely_mapped_percent	STAR_mqc-generalstats-uniquely_mapped	HTSeq Count_mqc-generalstats-percent_assigned	HTSeq Count_mqc-generalstats-assigned	QualiMap_mqc-generalstats-5_3_bias	featureCounts_mqc-generalstats-percent_assigned	QualiMap_mqc-generalstats-reads_aligned	featureCounts_mqc-generalstats-Assigned
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1	50.0	90.3731979584	13759054.0	49.3640919645	1.49813753231	61.0								
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							50.72	6978470.0						
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									32.4862481892	4355596	1.28	32.4862481892	9112494.0	4355596
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1	41.6666666667	86.974453009	7843795.0	49.0850731056	2.01030166135	51.0								
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							34.77	2727491.0						
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									17.184933371	887785	8.91	17.184933371	3476814.0	887785
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1	41.6666666667	79.0515374111	22870324.0	49.4951725651	1.13811644608	59.0								
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							54.38	12437268.0						
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									31.7363377156	7817216	0.9	31.7363377156	16275232.0	7817216
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1	50.0	82.4723071964	27211807.0	49.2093577983	1.85850091092	63.0								
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							44.66	12151817.0						
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									19.7393937579	6058349	1.09	19.7393937579	17923023.0	6058349
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1	33.3333333333	78.0101509287	22628933.0	49.3251473236	1.49368483222	57.0								
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							57.99	13123391.0						
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									34.7764091915	8481391	0.94	34.7764091915	16756522.0	8481391
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1	33.3333333333	82.1586755257	32918616.0	49.5488086133	0.966580428518	55.0								
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							62.51	20576426.0						
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									30.5149488211	10454062	0.86	30.5149488211	24809582.0	10454062
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1	33.3333333333	68.6056291066	20163885.0	49.2831861023	1.64760923204	59.0								
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							50.49	10181748.0						
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									26.4071944376	5665287	0.9	26.4071944376	13766590.0	5665287
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1	33.3333333333	85.0858628393	18891176.0	49.2968824175	1.57569001245	55.0								
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							57.82	10922877.0						
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									31.5178421881	6467546	0.83	31.5178421881	13942237.0	6467546
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1	33.3333333333	86.7645800655	16251700.0	49.440546712	1.22278721993	59.0								
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							53.44	8684212.0						
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									29.2291739161	5327159	1.07	29.2291739161	11710059.0	5327159
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1	33.3333333333	68.6495517615	17791854.0	49.1280925529	1.98932363675	61.0								
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							49.04	8725689.0						
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									22.9423481247	4394819	1.02	22.9423481247	12046478.0	4394819
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1	41.6666666667	81.1561415019	21496797.0	49.4983633143	1.14790178732	58.0								
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							57.06	12265165.0						
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									38.619738826	8116098	0.87	38.619738826	15043895.0	8116098
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1	41.6666666667	88.0358686602	14017699.0	49.3079454766	1.60454834483	60.0								
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							50.75	7114371.0						
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									29.2664846358	4599418	1.07	29.2664846358	9817772.0	4599418
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1	33.3333333333	72.6079633563	19017382.0	48.787814695	2.78640839353	60.0								
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							49.14	9345968.0						
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									21.6815948004	4777204	0.93	21.6815948004	13337956.0	4777204
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1	41.6666666667	88.5468383998	23207591.0	49.5377790396	1.00634727466	62.0								
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							47.06	10922450.0						
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									28.4922506396	6579514	1.07	28.4922506396	14756996.0	6579514
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1	33.3333333333	81.5663030335	21119703.0	49.5222733956	1.01567052902	56.0								
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							58.94	12448137.0						
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									32.3896378785	7353093	0.78	32.3896378785	15625758.0	7353093
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1	25.0	80.4964236122	409771.0	48.835720439	2.66750608293	55.0								
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							53.83	220586.0						
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									22.0104904965	117076		22.0104904965	323231.0	117076
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1	33.3333333333	82.6541565309	26233744.0	49.5271162972	0.999005421807	59.0								
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							53.92	14144955.0						
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									32.6406451369	9323955	0.85	32.6406451369	18613730.0	9323955
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1	33.3333333333	85.4879481786	19858004.0	49.5210789564	0.996783122073	56.0								
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38							57.45	11408045.0						
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star									31.6442476773	7065252	0.82	31.6442476773	14784306.0	7065252
SLX-16086.H23LKBBXY.s_3.r_1.lostreads	33.3333333333	70.04326157	36580225.0	50.0	1.36384710592	59.0								
