Sample	ambiguous	percent_assigned	too_low_aQual	total_count	no_feature	alignment_not_unique	assigned	not_aligned
SLX-16086.D701rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	251156	32.4862481892	0	13407507	2371718	6429037	4355596	0
SLX-16086.D701rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	100370	17.184933371	0	5166066	1739336	2438575	887785	0
SLX-16086.D701rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	349451	31.7363377156	0	24631752	4270601	12194484	7817216	0
SLX-16086.D702rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	631375	19.7393937579	0	30691667	5462093	18539850	6058349	0
SLX-16086.D702rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	520725	34.7764091915	0	24388346	4121275	11264955	8481391	0
SLX-16086.D702rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	389374	30.5149488211	0	34258822	9732990	13682396	10454062	0
SLX-16086.D703rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	432687	26.4071944376	0	21453574	4083774	11271826	5665287	0
SLX-16086.D703rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	352078	31.5178421881	0	20520269	4103253	9597392	6467546	0
SLX-16086.D703rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	313396	29.2291739161	0	18225486	3043657	9541274	5327159	0
SLX-16086.D704rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	428270	22.9423481247	0	19155925	3902600	10430236	4394819	0
SLX-16086.D704rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	293589	38.619738826	0	21015414	3855478	8750249	8116098	0
SLX-16086.D704rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	274822	29.2664846358	0	15715649	2240131	8601278	4599418	0
SLX-16086.D705rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	661328	21.6815948004	0	22033453	3907436	12687485	4777204	0
SLX-16086.D705rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	315054	28.4922506396	0	23092293	4027882	12169843	6579514	0
SLX-16086.D705rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	289378	32.3896378785	0	22701992	4805666	10253855	7353093	0
SLX-16086.D706rna_D501rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	20242	22.0104904965	0	531910	83268	311324	117076	0
SLX-16086.D706rna_D502rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	443927	32.6406451369	0	28565474	4377073	14420519	9323955	0
SLX-16086.D706rna_D503rna.H23LKBBXY.s_3.r_1_trimmed_GRCm38.star	316430	31.6442476773	0	22327129	4026363	10919084	7065252	0
