sampleFiles	sampleLabel	sampleGroup	sampleCondition	sampleDay	sampleLane
SLX-11165.ORDRE04.HFMVTBBXX.s_1.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	E04	1	implants	1	1
SLX-11165.ORDRE04.HFMVTBBXX.s_2.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	E04	1	implants	1	2
SLX-11165.ORDRE04.HFN3MBBXX.s_5.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	E04	1	implants	1	5
SLX-11165.ORDRE04.HFN3MBBXX.s_6.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	E04	1	implants	1	6
SLX-11165.ORDRE04.HFN3MBBXX.s_7.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	E04	1	implants	1	7
SLX-11165.ORDRH05.HFMVTBBXX.s_1.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	H05	1	implants	1	1
SLX-11165.ORDRH05.HFMVTBBXX.s_2.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	H05	1	implants	1	2
SLX-11165.ORDRH05.HFN3MBBXX.s_5.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	H05	1	implants	1	5
SLX-11165.ORDRH05.HFN3MBBXX.s_6.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	H05	1	implants	1	6
SLX-11165.ORDRH05.HFN3MBBXX.s_7.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	H05	1	implants	1	7
SLX-11165.ORDRB08.HFMVTBBXX.s_1.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	B08	1	implants	1	1
SLX-11165.ORDRB08.HFMVTBBXX.s_2.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	B08	1	implants	1	2
SLX-11165.ORDRB08.HFN3MBBXX.s_5.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	B08	1	implants	1	5
SLX-11165.ORDRB08.HFN3MBBXX.s_6.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	B08	1	implants	1	6
SLX-11165.ORDRB08.HFN3MBBXX.s_7.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	B08	1	implants	1	7
SLX-11165.ORDRD09.HFMVTBBXX.s_1.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	D09	1	implants	1	1
SLX-11165.ORDRD09.HFMVTBBXX.s_2.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	D09	1	implants	1	2
SLX-11165.ORDRD09.HFN3MBBXX.s_5.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	D09	1	implants	1	5
SLX-11165.ORDRD09.HFN3MBBXX.s_6.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	D09	1	implants	1	6
SLX-11165.ORDRD09.HFN3MBBXX.s_7.r_1_trimmed_GRCm38_star.bam_htseq_counts.txt	D09	1	implants	1	7
